Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10
TC1000000105686;YY1000005086690;3500123257;30;153;14;10384602;;FELVAR;621531410384602
TC1000000105686;YY1000005086689;3500123257;30;153;14;10384611;;FELVAR;621531410384611
TC1000000105686;YY1000005087487;3500123257;30;153;14;10384617;;FELVAR;621531410384617
TC1000000105686;YY1000004942362;3500123257;30;153;14;10385032;;FELVAR;621531410385032
TC1000000105686;YY1000004336258;3500123257;30;153;6;10034032;;SZAML;M11530610034032
TC1000000105686;YY1000005171589;3500123257;30;153;14;10389356;;FELVAR;621531410389356
TC1000000105686;YY1000005171341;3500123257;30;153;14;10389341;;FELVAR;621531410389341
TC1000000105686;YY1000005171588;3500123257;30;153;14;10389343;;FELVAR;621531410389343
TC1000000105686;YY1000005085005;3500123257;30;153;14;10389389;;FELVAR;621531410389389
TC1000000105686;YY1000004942394;3500123257;30;153;14;10387460;;FELVAR;621531410387460
TC1000000105686;YY1000005127758;3500123257;30;153;6;10052086;;FELVAR;M11530610052086
TC1000000105686;YY1000004942398;3500123257;30;153;10;10241129;;FELVAR;M11531010241129
TC1000000105686;YY1000005217645;3500123257;30;153;14;10386280;;FELVAR;621531410386280
TC1000000105686;YY1000005091280;3500123257;30;153;14;10387753;;FELVAR;621531410387753
TC1000000105686;YY1000005209204;3500123257;30;153;14;10389484;;FELVAR;621531410389484
TC1000000105686;YY1000005209218;3500123257;30;153;14;10389522;;FELVAR;621531410389522
TC1000000105686;YY1000005171342;3500123257;30;153;14;10389351;;FELVAR;621531410389351
TC1000000105686;YY1000005209205;3500123257;30;153;14;10379757;;FELVAR;621531410379757
TC1000000105686;YY1000005087483;3500123257;30;153;14;10379786;;FELVAR;621531410379786
TC1000000105686;YY1000005085009;3500123257;30;153;14;10379792;;FELVAR;621531410379792
TC1000000105686;YY1000005209217;3500123257;30;153;14;10382309;;FELVAR;621531410382309
TC1000000105686;YY1000005171590;3500123257;30;153;14;10382386;;SZAML;621531410382386
TC1000000105686;YY1000005209202;3500123257;30;153;14;10382365;;FELVAR;621531410382365
TC1000000105686;YY1000004970442;3500123257;40;149;19;91219997;;FELVAR;801491991219997
TC1000000105687;YY1000005086211;3500123257;20;143;11;24975092;;FELVAR;671431124975092
TC1000000105687;YY1000005089128;3500123257;20;143;9;23618548;;FELVAR;M11430923618548
TC1000000105687;YY1000005170790;3500123257;20;143;11;24562066;;FELVAR;M11431124562066
TC1000000105687;YY1000005209156;3500123257;20;143;5;21897014;;FELVAR;M11430521897014
TC1000000105687;YY1000005171086;3500123257;20;143;9;24005723;;FELVAR;M11430924005723
TC1000000105687;YY1000005209227;3500123257;20;143;9;23778197;;FELVAR;M11430923778197
TC1000000105687;YY1000004917789;3500123257;20;143;8;23166445;;FELVAR;M11430823166445
TC1000000105687;YY1000005084331;3500123257;20;143;9;23671536;;FELVAR;M11430923671536
TC1000000105687;YY1000004932081;3500123257;20;143;7;22611154;;FELVAR;M21430722611154
TC1000000105687;YY1000004948081;3500123257;20;143;11;24816882;;FELVAR;M11431124816882
TC1000000105687;YY1000005089073;3500123257;20;143;6;22144522;;FELVAR;M11430622144522
TC1000000105687;YY1000004940785;3500123257;20;143;7;22936099;;FELVAR;M11430722936099
TC1000000105687;YY1000005100372;3500123257;20;143;7;22508185;;FELVAR;M21430722508185
TC1000000105687;YY1000005083709;3500123257;20;143;7;22677273;;FELVAR;M11430722677273
TC1000000105687;YY1000005138010;3500123257;20;143;8;23433694;;FELVAR;M11430823433694
TC1000000105687;YY1000005088248;3500123257;20;143;8;23385166;;FELVAR;M11430823385166
TC1000000105687;YY1000005209214;3500123257;20;143;8;23463435;;FELVAR;M11430823463435
TC1000000105687;YY1000005209157;3500123257;20;143;8;23515110;;FELVAR;M11430823515110
TC1000000105687;YY1000005170784;3500123257;20;143;6;22145447;;FELVAR;M11430622145447
TC1000000105687;YY1000005170789;3500123257;20;143;6;22177150;;FELVAR;M11430622177150
TC1000000105687;YY1000005171706;3500123257;20;143;6;22177336;;FELVAR;M11430622177336
TC1000000105687;YY1000005171708;3500123257;20;143;6;22144542;;FELVAR;M11430622144542
TC1000000105687;YY1000005091368;3500123257;20;143;7;22937353;;FELVAR;M11430722937353
TC1000000105687;YY1000005091351;3500123257;20;143;7;22666706;;FELVAR;M11430722666706
TC1000000105687;YY1000005091341;3500123257;20;143;7;23013427;;FELVAR;M11430723013427
TC1000000105687;YY1000004932089;3500123257;20;143;8;23295470;;FELVAR;M11430823295470
TC1000000105687;YY1000005126144;3500123257;20;143;9;23704431;;FELVAR;M11430923704431
TC1000000105687;YY1000005209237;3500123257;20;143;6;22238563;;FELVAR;M11430622238563
TC1000000105687;YY1000005084146;3500123257;20;143;14;26344837;;FELVAR;801431426344837
TC1000000105687;YY1000005084155;3500123257;20;143;14;26344846;;FELVAR;801431426344846
TC1000000105687;YY1000005084156;3500123257;20;143;14;26344803;;FELVAR;801431426344803
TC1000000105687;YY1000005209153;3500123257;20;143;8;23353740;;FELVAR;M11430823353740
TC1000000105687;YY1000004932085;3500123257;20;143;6;22075368;;FELVAR;M11430622075368
TC1000000105687;YY1000004932086;3500123257;20;143;6;22172633;;FELVAR;M11430622172633
TC1000000105687;YY1000005084145;3500123257;20;143;9;23705346;;FELVAR;M11430923705346
TC1000000105687;YY1000005209224;3500123257;20;143;11;24798344;;FELVAR;M11431124798344
TC1000000105687;YY1000005084147;3500123257;20;143;6;22239082;;FELVAR;M11430622239082
TC1000000105687;YY1000005126141;3500123257;20;143;12;25373977;;FELVAR;M11431225373977
TC1000000105687;YY1000005218748;3500123257;20;143;14;26344817;;FELVAR;801431426344817
TC1000000105687;YY1000005084152;3500123257;20;143;14;26344831;;FELVAR;801431426344831
TC1000000105687;YY1000005126143;3500123257;20;143;7;22936900;;FELVAR;M11430722936900
TC1000000105687;YY1000005084153;3500123257;20;143;7;22942947;;FELVAR;M11430722942947
TC1000000105687;YY1000005083711;3500123257;20;143;7;23015869;;FELVAR;M11430723015869
TC1000000105687;YY1000005209213;3500123257;20;143;8;23127371;;FELVAR;M11430823127371
TC1000000105687;YY1000005091363;3500123257;20;143;8;23312867;;FELVAR;M11430823312867
TC1000000105687;YY1000005084141;3500123257;20;143;9;23670202;;FELVAR;M11430923670202
TC1000000105687;YY1000005209160;3500123257;20;143;11;24941326;;FELVAR;M11431124941326
TC1000000105687;YY1000005085827;3500123257;20;143;9;24041009;;FELVAR;M11430924041009
TC1000000105687;YY1000004955205;3500123257;20;143;8;23414553;;FELVAR;M11430823414553
TC1000000105687;YY1000005126142;3500123257;20;143;7;22492938;;FELVAR;M11430722492938
TC1000000105687;YY1000005084142;3500123257;20;143;7;22704537;;FELVAR;M11430722704537
TC1000000105687;YY1000005209225;3500123257;20;143;7;22776353;;FELVAR;M11430722776353
TC1000000105687;YY1000005218753;3500123257;30;153;14;10380035;;FELVAR;621531410380035
TC1000000105687;YY1000005218752;3500123257;30;153;14;10379875;;FELVAR;621531410379875
TC1000000105687;YY1000005084158;3500123257;30;153;14;10379849;;FELVAR;621531410379849
TC1000000105687;YY1000005084157;3500123257;30;153;14;10379854;;FELVAR;621531410379854
TC1000000105687;YY1000005083712;3500123257;30;153;14;10379859;;FELVAR;621531410379859
TC1000000105687;YY1000005209534;3500123257;30;153;14;10379666;;FELVAR;621531410379666
TC1000000105687;YY1000005171078;3500123257;30;153;6;10069458;;FELVAR;M11530610069458
TC1000000105687;YY1000004948088;3500123257;30;153;7;10092872;;FELVAR;M11530710092872
TC1000000105687;YY1000005218750;3500123257;30;153;14;10384313;;FELVAR;621531410384313
TC1000000105687;YY1000005218754;3500123257;30;153;14;10384315;;FELVAR;621531410384315
TC1000000105687;YY1000005084154;3500123257;30;153;14;10384415;;FELVAR;621531410384415
TC1000000105687;YY1000005089132;3500123257;30;153;14;10384614;;FELVAR;621531410384614
TC1000000105687;YY1000005209538;3500123257;30;153;14;10384852;;FELVAR;621531410384852
TC1000000105687;YY1000004945426;3500123257;30;153;9;10197497;;FELVAR;M11530910197497
TC1000000105687;YY1000005084149;3500123257;30;153;14;10389450;;FELVAR;621531410389450
TC1000000105687;YY1000005083710;3500123257;30;153;14;10384572;;FELVAR;621531410384572
TC1000000105687;YY1000005084143;3500123257;30;153;14;10384581;;FELVAR;621531410384581
TC1000000105687;YY1000005083727;3500123257;30;153;14;10384586;;FELVAR;621531410384586
TC1000000105687;YY1000005091360;3500123257;30;153;14;10384509;;FELVAR;621531410384509
TC1000000105687;YY1000005218749;3500123257;30;153;14;10384312;;FELVAR;621531410384312
TC1000000105687;YY1000005091354;3500123257;30;153;14;10382690;;FELVAR;621531410382690
TC1000000105687;YY1000005084150;3500123257;30;153;14;10386454;;FELVAR;621531410386454
TC1000000105687;YY1000005083726;3500123257;30;153;14;10387908;;FELVAR;621531410387908
TC1000000105687;YY1000005084148;3500123257;30;153;14;10387931;;FELVAR;621531410387931
TC1000000105687;YY1000005218751;3500123257;30;153;14;10387883;;FELVAR;621531410387883
TC1000000105687;YY1000005084144;3500123257;30;153;14;10387769;;FELVAR;621531410387769
TC1000000105687;YY1000004932087;3500123257;30;153;14;10380240;;FELVAR;621531410380240
TC1000000105687;YY1000005083719;3500123257;30;153;14;10380394;;FELVAR;621531410380394
TC1000000105687;YY1000005083718;3500123257;30;153;14;10380428;;FELVAR;621531410380428
TC1000000105687;YY1000005209212;3500123257;30;153;14;10382389;;FELVAR;621531410382389
TC1000000105687;YY1000005209537;3500123257;30;153;14;10382244;;FELVAR;621531410382244
TC1000000105687;YY1000005218764;3500123257;30;153;14;10382254;;FELVAR;621531410382254
TC1000000105687;YY1000004942545;3500123257;40;149;19;91221862;;FELVAR;801491991221862
TC1000000105696;YY1000005075142;3500123257;10;142;11;24742599;;FELVAR;671421124742599
TC1000000105696;YY1000004900429;3500123257;10;142;14;90925087;;FELVAR;671421490925087
TC1000000105696;YY1000005075132;3500123257;10;142;8;23161300;;FELVAR;G11420823161300
TC1000000105696;YY1000005075129;3500123257;10;142;14;90934132;;FELVAR;671421490934132
TC1000000105696;YY1000005075125;3500123257;10;142;14;90934133;;FELVAR;671421490934133
TC1000000105696;YY1000005075124;3500123257;10;142;14;90934135;;FELVAR;671421490934135
TC1000000105696;YY1000005075137;3500123257;10;142;14;90970835;;FELVAR;801421490970835
TC1000000105696;YY1000005075134;3500123257;10;142;14;90970849;;FELVAR;801421490970849
TC1000000105696;YY1000005075130;3500123257;10;142;14;90970850;;FELVAR;801421490970850
TC1000000105696;YY1000005075141;3500123257;10;142;14;90970721;;FELVAR;801421490970721
TC1000000105696;YY1000005075131;3500123257;10;142;14;90973433;;FELVAR;801421490973433
TC1000000105696;K11421325720212;3500123257;10;142;13;25720212;;FELUJ;K11421325720212
TC1000000105696;YY1000004900420;3500123257;10;142;14;90954778;;FELVAR;671421490954778
TC1000000105696;YY1000004900419;3500123257;10;142;14;90954786;;FELVAR;671421490954786
TC1000000105696;YY1000004978098;3500123257;10;142;14;90955269;;FELVAR;671421490955269
TC1000000105696;YY1000004900417;3500123257;10;142;14;90957043;;FELVAR;671421490957043
TC1000000105696;YY1000005075136;3500123257;10;142;14;90970855;;FELVAR;801421490970855
TC1000000105696;YY1000005075133;3500123257;10;142;14;90970859;;FELVAR;801421490970859
TC1000000105696;YY1000004978105;3500123257;10;142;14;90947070;;FELVAR;671421490947070
TC1000000105696;YY1000005075117;3500123257;10;142;14;90947069;;FELVAR;671421490947069
TC1000000105696;YY1000005075126;3500123257;10;142;14;90947067;;FELVAR;671421490947067
TC1000000105696;YY1000005075127;3500123257;10;142;14;90947066;;FELVAR;671421490947066
TC1000000105696;YY1000005075114;3500123257;10;142;14;90947063;;FELVAR;671421490947063
TC1000000105696;YY1000005075110;3500123257;10;142;14;90954469;;FELVAR;671421490954469
TC1000000105696;YY1000004978103;3500123257;10;142;14;90947074;;FELVAR;671421490947074
TC1000000105696;YY1000004978104;3500123257;10;142;14;90947073;;FELVAR;671421490947073
TC1000000105696;YY1000004978108;3500123257;10;142;14;90947142;;FELVAR;671421490947142
TC1000000105696;YY1000004978111;3500123257;10;142;14;90947129;;FELVAR;671421490947129
TC1000000105696;YY1000005075138;3500123257;10;142;14;90947002;;FELVAR;671421490947002
TC1000000105696;YY1000004978106;3500123257;10;142;14;90947071;;FELVAR;671421490947071
TC1000000105696;YY1000004978118;3500123257;10;142;14;90946897;;FELVAR;671421490946897
TC1000000105696;YY1000004978096;3500123257;10;142;14;90946896;;FELVAR;671421490946896
TC1000000105696;YY1000004978999;3500123257;10;142;14;90946895;;FELVAR;671421490946895
TC1000000105696;YY1000004978120;3500123257;10;142;14;90946889;;FELVAR;671421490946889
TC1000000105696;YY1000004978112;3500123257;10;142;14;90946885;;FELVAR;671421490946885
TC1000000105696;YY1000005075113;3500123257;10;142;14;90947076;;FELVAR;671421490947076
TC1000000105696;YY1000004978100;3500123257;10;142;14;90946910;;FELVAR;671421490946910
TC1000000105696;YY1000004978094;3500123257;10;142;14;90946909;;FELVAR;671421490946909
TC1000000105696;YY1000004978116;3500123257;10;142;14;90946908;;FELVAR;671421490946908
TC1000000105696;YY1000004978107;3500123257;10;142;14;90946907;;FELVAR;671421490946907
TC1000000105696;YY1000004978115;3500123257;10;142;14;90946905;;FELVAR;671421490946905
TC1000000105696;YY1000004978102;3500123257;10;142;14;90946900;;FELVAR;671421490946900
TC1000000105696;YY1000004978093;3500123257;10;142;14;90946919;;FELVAR;671421490946919
TC1000000105696;YY1000004978109;3500123257;10;142;14;90946918;;FELVAR;671421490946918
TC1000000105696;YY1000004978092;3500123257;10;142;14;90946915;;FELVAR;671421490946915
TC1000000105696;YY1000004978117;3500123257;10;142;14;90946913;;FELVAR;671421490946913
TC1000000105696;YY1000004978114;3500123257;10;142;14;90946912;;FELVAR;671421490946912
TC1000000105696;YY1000004978110;3500123257;10;142;14;90946911;;FELVAR;671421490946911
TC1000000105696;YY1000004978998;3500123257;10;142;14;90947335;;FELVAR;671421490947335
TC1000000105696;YY1000004978113;3500123257;10;142;14;90946926;;FELVAR;671421490946926
TC1000000105696;YY1000004978091;3500123257;10;142;14;90946921;;FELVAR;671421490946921
TC1000000105696;YY1000004978095;3500123257;10;142;14;90946920;;FELVAR;671421490946920
TC1000000105696;YY1000004978119;3500123257;10;142;14;90946930;;FELVAR;671421490946930
TC1000000105696;YY1000004978097;3500123257;10;142;14;90946934;;FELVAR;671421490946934
TC1000000105696;YY1000004978981;3500123257;10;142;14;90947306;;FELVAR;671421490947306
TC1000000105696;YY1000004978984;3500123257;10;142;14;90947303;;FELVAR;671421490947303
TC1000000105696;YY1000004978994;3500123257;10;142;14;90947444;;FELVAR;671421490947444
TC1000000105696;YY1000005075108;3500123257;10;142;14;90947491;;FELVAR;671421490947491
TC1000000105696;YY1000005075109;3500123257;10;142;14;90947487;;FELVAR;671421490947487
TC1000000105696;YY1000004978991;3500123257;10;142;14;90947336;;FELVAR;671421490947336
TC1000000105696;YY1000004978996;3500123257;10;142;14;90947321;;FELVAR;671421490947321
TC1000000105696;YY1000004978988;3500123257;10;142;14;90947320;;FELVAR;671421490947320
TC1000000105696;YY1000004978989;3500123257;10;142;14;90947318;;FELVAR;671421490947318
TC1000000105696;YY1000004978990;3500123257;10;142;14;90947315;;FELVAR;671421490947315
TC1000000105696;YY1000004978985;3500123257;10;142;14;90947313;;FELVAR;671421490947313
TC1000000105696;YY1000004979000;3500123257;10;142;14;90947311;;FELVAR;671421490947311
TC1000000105696;YY1000005075122;3500123257;10;142;14;90947281;;FELVAR;671421490947281
TC1000000105696;YY1000004978987;3500123257;10;142;14;90947334;;RAKTRONG;671421490947334
TC1000000105696;YY1000004978983;3500123257;10;142;14;90947333;;FELVAR;671421490947333
TC1000000105696;YY1000004978982;3500123257;10;142;14;90947327;;FELVAR;671421490947327
TC1000000105696;YY1000004978995;3500123257;10;142;14;90947325;;FELVAR;671421490947325
TC1000000105696;YY1000004978099;3500123257;10;142;14;90947322;;FELVAR;671421490947322
TC1000000105696;YY1000005075116;3500123257;10;142;14;90934333;;FELVAR;671421490934333
TC1000000105696;YY1000005075111;3500123257;10;142;11;25003619;;FELVAR;G11421125003619
TC1000000105696;YY1000005075140;3500123257;10;142;12;25291512;;FELVAR;G11421225291512
TC1000000105696;YY1000005075121;3500123257;10;142;13;25727331;;FELVAR;G11421325727331
TC1000000105696;YY1000004900418;3500123257;10;142;14;90943502;;FELVAR;671421490943502
TC1000000105696;YY1000004900401;3500123257;10;142;14;90943702;;FELVAR;671421490943702
TC1000000105696;YY1000005075120;3500123257;10;142;14;90934138;;FELVAR;671421490934138
TC1000000105696;YY1000005075135;3500123257;10;142;14;90934198;;FELVAR;671421490934198
TC1000000105696;YY1000005075112;3500123257;10;142;14;90934387;;FELVAR;671421490934387
TC1000000105696;YY1000005075118;3500123257;10;142;14;90934258;;FELVAR;671421490934258
TC1000000105696;YY1000005075128;3500123257;10;142;14;90934329;;FELVAR;671421490934329
TC1000000105696;YY1000005075119;3500123257;10;142;14;90934331;;FELVAR;671421490934331
TC1000000105696;YY1000004900427;3500123257;50;237;18;10467800;;FELVAR;622371810467800
TC1000000105703;YY1000005095291;3500123257;20;143;7;22609797;;FELVAR;M11430722609797
TC1000000105703;YY1000005085570;3500123257;20;143;6;22276679;;FELVAR;M11430622276679
TC1000000105703;YY1000005095301;3500123257;20;143;8;23373619;;FELVAR;M11430823373619
TC1000000105703;YY1000005095320;3500123257;20;143;9;23881329;;FELVAR;M11430923881329
TC1000000105703;YY1000004062744;3500123257;20;143;6;22239355;;FELVAR;M11430622239355
TC1000000105703;YY1000005099872;3500123257;20;143;6;22271709;;FELVAR;M11430622271709
TC1000000105703;YY1000005067299;3500123257;20;143;7;22716968;;FELVAR;M11430722716968
TC1000000105703;YY1000004725236;3500123257;20;143;7;22788666;;FELVAR;M11430722788666
TC1000000105703;YY1000005209527;3500123257;20;143;9;23658758;;FELVAR;M21430923658758
TC1000000105703;YY1000004952084;3500123257;20;143;10;24313192;;FELVAR;M11431024313192
TC1000000105703;YY1000005087531;3500123257;20;143;7;22627888;;FELVAR;K21430722627888
TC1000000105703;YY1000005086700;3500123257;20;143;9;23730391;;FELVAR;M11430923730391
TC1000000105703;YY1000005086697;3500123257;20;143;9;23923070;;FELVAR;M11430923923070
TC1000000105703;YY1000005087533;3500123257;20;143;11;24563041;;FELVAR;M11431124563041
TC1000000105703;YY1000004325153;3500123257;20;143;6;22076730;;FELVAR;M11430622076730
TC1000000105703;YY1000004725235;3500123257;20;143;6;22261030;;FELVAR;M11430622261030
TC1000000105703;YY1000005085036;3500123257;20;143;7;22726964;;FELVAR;M11430722726964
TC1000000105703;YY1000005086671;3500123257;20;143;8;23079560;;FELVAR;M11430823079560
TC1000000105703;YY1000005085571;3500123257;20;143;8;23373112;;FELVAR;M11430823373112
TC1000000105703;YY1000005086698;3500123257;20;143;8;23387694;;FELVAR;M11430823387694
TC1000000105703;YY1000005086675;3500123257;20;143;8;23499896;;FELVAR;M11430823499896
TC1000000105703;YY1000005086699;3500123257;20;143;9;23658483;;FELVAR;M11430923658483
TC1000000105703;YY1000005086674;3500123257;20;143;9;23659062;;FELVAR;M11430923659062
TC1000000105703;YY1000005091937;3500123257;20;143;9;23922900;;FELVAR;M11430923922900
TC1000000105703;YY1000005099874;3500123257;20;143;9;23935471;;FELVAR;M11430923935471
TC1000000105703;YY1000005099878;3500123257;20;143;9;24026940;;FELVAR;M11430924026940
TC1000000105703;YY1000004062741;3500123257;20;143;11;24660803;;FELVAR;M11431124660803
TC1000000105703;YY1000005067873;3500123257;20;143;8;23416378;;FELVAR;M21430823416378
TC1000000105703;YY1000005086676;3500123257;20;143;7;22964977;;FELVAR;M11430722964977
TC1000000105703;YY1000005099877;3500123257;20;143;8;23340129;;FELVAR;M21430823340129
TC1000000105703;YY1000005095317;3500123257;20;143;7;22611297;;FELVAR;M11430722611297
TC1000000105703;YY1000005095318;3500123257;20;143;8;23311934;;FELVAR;M11430823311934
TC1000000105703;YY1000005086672;3500123257;20;143;8;23331443;;FELVAR;M11430823331443
TC1000000105703;YY1000005087534;3500123257;20;143;11;24925346;;FELVAR;M11431124925346
TC1000000105703;YY1000005099879;3500123257;20;143;7;22654197;;FELVAR;M11430722654197
TC1000000105703;YY1000005087539;3500123257;20;143;7;22956111;;FELVAR;M11430722956111
TC1000000105703;YY1000005087536;3500123257;20;143;7;23015984;;FELVAR;M11430723015984
TC1000000105703;YY1000005099871;3500123257;20;143;8;23202781;;FELVAR;M11430823202781
TC1000000105703;YY1000005099875;3500123257;20;143;8;23312345;;FELVAR;M11430823312345
TC1000000105703;YY1000005086677;3500123257;20;143;9;23922104;;FELVAR;M11430923922104
TC1000000105703;YY1000005087542;3500123257;20;143;9;23945897;;FELVAR;M11430923945897
TC1000000105703;YY1000005085563;3500123257;30;153;13;10362924;;FELVAR;621531310362924
TC1000000105703;YY1000005095319;3500123257;30;153;13;10371151;;FELVAR;621531310371151
TC1000000105703;YY1000005095314;3500123257;30;153;13;10371103;;FELVAR;621531310371103
TC1000000105703;YY1000005087541;3500123257;30;153;13;10372795;;FELVAR;621531310372795
TC1000000105703;YY1000005085566;3500123257;30;153;11;10278468;;FELVAR;M11531110278468
TC1000000105703;YY1000005087543;3500123257;30;153;10;10249842;;FELVAR;M11531010249842
TC1000000105703;YY1000005085032;3500123257;30;153;10;10207250;;FELVAR;M11531010207250
TC1000000105703;YY1000004062742;3500123257;30;153;23;10512997;;FELVAR;621532310512997
TC1000000105703;YY1000005091275;3500123257;30;153;14;10384353;;FELVAR;621531410384353
TC1000000105703;YY1000005091273;3500123257;30;153;14;10384355;;FELVAR;621531410384355
TC1000000105703;YY1000005091281;3500123257;30;153;14;10384364;;FELVAR;621531410384364
TC1000000105703;YY1000005087537;3500123257;30;153;14;10388520;;FELVAR;621531410388520
TC1000000105703;YY1000005087546;3500123257;30;153;14;10388409;;FELVAR;621531410388409
TC1000000105703;YY1000005088440;3500123257;30;153;14;10384632;;FELVAR;621531410384632
TC1000000105703;YY1000005087535;3500123257;30;153;14;10387553;;FELVAR;621531410387553
TC1000000105703;YY1000004725181;3500123257;30;153;14;10387983;;FELVAR;621531410387983
TC1000000105703;YY1000004725186;3500123257;30;153;14;10387984;;FELVAR;621531410387984
